team_no,knowcat_1,knowcat_2,knowcat_3,knowcat_4,knowcat_5,knowcat_6,mtxScore,nsScore,crtScore,bnScore,aotScore,nfcScore
6,0.467427031,-0.519348642,-1.090126622,0.569269298,0.061010225,0.671199478,0.773235277,0.950795472,0.947090376,1.433858043,1.500695805,0.861940084
7,0.770919185,0.873829609,-0.690099711,1.088155344,0.061010225,0.188997897,0.247048983,1.394903202,0.431245279,-0.753185516,0.833016701,0.595357013
7,0.062770826,0.003093202,0.910007933,-0.157171167,0.220278032,-0.614671407,0.247048983,0.950795472,0.947090376,0.704843523,0.165337598,0.062190872
7,-0.948869686,-1.912526893,1.310034844,-0.779834423,0.220278032,1.314134921,0.247048983,0.506687742,-1.116290011,-0.753185516,-0.502341505,0.462065478
7,-1.151197789,0.351387765,0.309967566,-1.19494326,-2.328006869,0.188997897,-0.279137312,-0.381527718,0.431245279,-0.753185516,-0.168501954,-0.870849875
7,-0.44304943,-1.215937767,-1.390146805,-0.157171167,-0.257525387,-0.132469825,1.825607866,1.394903202,0.947090376,1.433858043,-0.502341505,0.195482407
7,1.681395647,1.04797689,1.610055027,0.465492088,-0.098257581,0.671199478,0.247048983,0.950795472,-0.084599818,-0.753185516,0.165337598,1.661689295
8,-0.341885379,0.699682328,-0.2900728,0.465492088,0.698081451,0.671199478,1.825607866,-1.269743179,-1.116290011,-0.024170997,-0.836181057,0.195482407
8,2.389544005,-0.171054079,1.210028116,1.710818599,2.290759514,3.403675109,-0.279137312,-0.381527718,-0.600444914,-1.482200036,0.49917715,-1.937182157
8,0.062770826,-1.56423233,0.009947383,-0.676057213,-0.098257581,-0.293203685,0.247048983,0.062580012,-1.116290011,0.704843523,-1.503860161,1.395106225
8,-1.050033738,-0.693495923,-1.190133349,-0.364725586,-0.894596613,-1.096872988,0.247048983,-0.381527718,0.431245279,-0.753185516,1.166856253,1.395106225
8,-0.44304943,0.003093202,-0.590092983,-0.883611632,0.379545838,-0.614671407,0.773235277,1.394903202,0.947090376,-0.024170997,-0.502341505,-0.071100663
8,-0.038393225,1.396271453,2.210095393,2.125927436,1.335152676,-0.132469825,0.773235277,0.950795472,0.947090376,0.704843523,-0.168501954,1.261814689
9,0.163934878,0.351387765,0.709994477,1.088155344,0.220278032,0.831933339,-0.805323606,-0.381527718,0.947090376,-0.753185516,-1.503860161,0.22047457
